Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Залив Лаврентия(Лаврентия);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2015;117,24;153,66;133,68;146,5;0;63,94;173,85;109,32;103,06;279,52;196,27;224,15;1701,19
Игарка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2015;447,1;521,66;552,67;684,11;723,77;711,73;644,05;614,16;585,87;704,43;1044,6;924,77;8158,92
Кавалерово;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2015;145,29;234,77;248,11;207,62;185,71;177,71;263,65;219,33;174,07;178,48;203,58;299,51;2537,83
Казачинское(Казачинск);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2015;285,43;327,52;340,31;316,15;286,52;310,12;342,21;432,47;386,4;435,43;397,98;513,58;4374,12
Калуга;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2015;235,58;330,81;362,86;603,49;437,45;311;318,07;348,05;413;583,24;636,48;745,82;5325,85
Кепервеем;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2015;1;0,52;1,3;30,3;1,62;26,9;2;26,34;3,98;17,91;2,08;47,94;161,89
Кодинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2015;111,8;209,7;195,1;258,4;131,1;169,7;172,7;146,2;121,4;143;387,5;443,6;2490,2
Кондинское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2015;313,01;419,38;444,5;462,3;485;449,54;475,06;439,27;482,9;454,08;475,18;526,96;5427,18
Красноселькуп;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2015;710,3;968,68;1078,06;1142,61;1179,86;1052,41;1109,92;1054,73;1025,23;1115,75;1039,52;1400,64;12877,71
Красноярск(Черемшанка);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2015;0,78;6,12;2,45;1,62;8,72;8,84;5,69;10,2;14,28;10,93;9,41;3,9;82,94
Лабожское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
