Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Киренск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2017;10;11,01;151,8;144,65;42,8;84,79;31,51;36,48;54,22;81,88;44,55;36,36;730,05
Кодинск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2017;152,9;160,9;244,5;206,9;159,1;179;103,9;153,03;102,4;141,4;115,82;312,81;2032,66
Кондинское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2017;285,36;391,05;522,61;542,12;512,9;489,25;484,1;516,13;537,56;575,7;516,7;605,66;5979,14
Красноселькуп;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2017;721,13;773,88;1043,27;1080,38;1049,78;1020,34;1144,13;1316,29;1304,56;1423,46;1416,57;1558,5;13852,29
Красноярск(Черемшанка);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2017;0,59;0,85;0,64;0,72;0,99;0,89;0,08;3,66;1,15;1,25;1,04;1,47;13,33
Лабожское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ленск;2017;22,71;22,63;28,54;56,8;101,69;69,62;74,1;58,74;67,21;102,36;108,26;69,52;782,18
Лешуконское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2017;488;552;672;657;688;795;785;712;724;699;705;832;8309
Магнитогорск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2017;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2017;95,32;133,36;377,62;111,3;115,34;315,64;120,61;140,96;154,81;180,9;180,87;185,12;2111,85
Мирный;2017;504,27;594,86;859,76;985,48;1028,58;909,28;779,41;900,63;1097,22;1225,84;1154,32;1035,71;11075,36
Москва(Быково);2017;0;0;0;0;0;0;0;0;0;0;0;0;0
Москва(Внуково);2017;3194,88;4189,39;4710,98;4314,67;4442,73;4688,29;4994,15;5073,72;5414,96;5209,59;5681,38;6579,24;58493,98
Москва(Домодедово);2017;7772,66;9169,01;11302,61;10918,44;10939,16;10076,87;10039,05;10727,61;10093,57;9773,88;10417,52;11631,97;122862,35
Москва(Остафьево);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2017;18438,6;17180,8;25153,5;23304,6;24856,2;23825;25141,9;24752,5;26277,6;27986,2;29520,5;27535,1;293972,5
Мотыгино;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2017;101,2;116,8;225;160,9;142,26;152,19;138,5;150,5;146,02;154;162,8;179;1829,17
Мыс Шмидта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2017;21,96;21,47;31,93;28,03;31,63;36,16;33,35;33,34;36,78;27,13;30,08;41,18;373,04
Назрань(Магас/Слепцовская);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2017;193,2;360,8;356,8;332,4;320,1;251,5;165,7;199,5;230,2;330;318,9;394,7;3453,8
Нижнекамск(Бегишево);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2017;49,17;56,82;74,2;76,23;64,46;78,01;74,79;73,02;92,68;103,31;79,67;126,02;948,38
Нижняя Пеша;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2017;4,9;5,57;5,81;4,87;3,03;3,4;2,9;3,34;2,43;2,78;3,22;4,37;46,62
Никольское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2017;62,8;73,1;96;91;78;79,6;81,9;87,5;138;139,6;354,1;339,7;1621,3
Новосибирск(Северный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2017;1212,3;1572,5;1933,8;1904,5;1943,7;1774,5;1696;1861,7;1645,7;2034,3;2060,9;2372,6;22012,5
Новый Уренгой;2017;234,4;352,6;426,2;366,5;444,5;405,8;317,9;339,8;281,7;351,7;312,9;333,8;4167,8
Ноглики;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2017;191,46;1215,47;1414,78;1226,59;1595,89;423,64;110,13;148,91;516,47;916,55;1048,04;1191,7;9999,63
Норильск(Валек);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2017;30,88;41,73;52,07;51,7;52,14;53,42;51,3;54,53;57,13;58,1;55,68;66,14;624,82
Нюрба;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2017;185;219;262;281;248;273;262;276;289;314;303;355;3267
Омсукчан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2017;65,05;71,89;87,54;92,49;91,15;93,35;101,49;109,34;112,92;147,88;109,32;135,64;1218,06
Орск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2017;27;119;142;91;74;156;69;18;38;57;56;112;959
Пенза;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2017;109,25;135,32;185,45;162,05;144,22;175,69;159,1;177,83;165,71;196,95;245,01;206,53;2063,11
Песчанка(остров Колгуев);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2017;410,26;441,5;622,48;586,61;642,32;1078,91;1254,01;1280,24;1098,06;927,22;811,61;867,75;10020,97
Печора;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2017;20,49;28,05;36,24;48;77,04;58,48;37,1;35,99;34,74;34,13;51,33;41,17;502,76
Провидения(Провидения Бухта);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2017;376,62;276,7;332,87;355,57;363,55;326,2;400,53;415,94;594,47;426,77;433,98;86,52;4389,72
Ростов-на-Дону(Платов);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2017;1577;1782;2538;2572;2578;2330;2578;2750;2429;2570;2546;2501;28751
Саранск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2017;25;28,2;36,8;38,2;34,5;41,8;42,1;42,7;47,9;67,2;41,4;44,8;490,6
Саскылах;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2017;122,19;242,73;232,26;848,88;840,77;382,36;241,38;288,53;223,53;228,94;209,72;246,11;4107,4
Среднеколымск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2017;57;61;65;64;57;63;67;70;65;71;71;83;794
Старый Оскол;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2017;186,9;239;292,8;278,3;296,7;362,7;339,3;334,7;304,7;298,6;297;348,6;3579,3
Сыктывкар;2017;40,87;45,36;59,98;63,4;57,41;60,59;65,02;63,73;60,64;71,38;61,54;83,91;733,83
Таганрог(Южный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2017;0;0;0;0;0;0;0;0;0;0;0;0;0
Тара;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2017;20,72;56,15;31,57;31,44;38,13;67,32;42,58;33,81;31,85;48,93;38,39;76,91;517,8
Тиличики;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2017;105,98;124,99;165,85;156,12;138,72;155,69;144,25;171,19;166,43;161,31;183,45;222,34;1896,32
Троицко-Печорск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2017;227,6;268,3;335,2;349,1;347,1;320;318,7;325,4;316,1;348,5;356,7;433,3;3946
Удское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2017;205,75;301,42;325,27;375,25;340,21;371,09;357,16;438,97;374,72;374,77;513,94;412,28;4390,83
Ухта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2017;1,1;13,1;6,9;9,28;17,78;9,28;8,25;7,57;8,82;13,14;5,12;7,95;108,29
Хабаровск(Новый);2017;1393,1;1674,57;2137,99;2024,43;1895,08;1948,92;1932,74;2048,82;2004,85;2464,06;2063,78;2487,45;24075,79
Хандыга;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2017;29,78;33,06;39,18;68,48;48,16;48,5;43,22;49,01;57,46;57,33;61,44;62,17;597,79
Харута;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2017;100,47;140,82;408,14;409,04;174,36;263,33;154,4;202,6;216,27;330,1;272,94;307,64;2980,11
Херпучи;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2017;170,18;228,37;241,83;226,25;204,63;268,7;231,85;263,71;248,4;257,64;273,72;333,35;2948,63
Череповец;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2017;195,37;180,85;298,74;280,62;311,7;300,58;268,51;263,85;239,53;307,5;307,75;335,69;3290,69
Чокурдах;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2017;540,76;710,59;930,42;819,62;905,2;979,87;909,28;889,06;963,15;942,06;927,59;1038,54;10556,14
Якутск;2017;494,19;575,56;735,48;783,5;767,35;912,92;831,89;987,59;1046,11;1084,44;1190,54;1448,48;10858,05
